cell_key,template_sheet,cellreference
Assurance MM47 Original Bobline,6b - Milestones - Assurance,F53
Assurance MM47 Forecast - Actual,6b - Milestones - Assurance,G53
Assurance MM47 Variance,6b - Milestones - Assurance,H53
Assurance MM47 Status,6b - Milestones - Assurance,I53
Assurance MM47 Notes,6b - Milestones - Assurance,J53
Assurance MM48,6b - Milestones - Assurance,D54
Assurance MM48 LoD,6b - Milestones - Assurance,E54
Assurance MM48 Original Bobline,6b - Milestones - Assurance,F54
Assurance MM48 Forecast - Actual,6b - Milestones - Assurance,G54
Assurance MM48 Variance,6b - Milestones - Assurance,H54
Assurance MM48 Status,6b - Milestones - Assurance,I54
Assurance MM48 Notes,6b - Milestones - Assurance,J54
Assurance MM49,6b - Milestones - Assurance,D55
Assurance MM49 LoD,6b - Milestones - Assurance,E55
Assurance MM49 Original Bobline,6b - Milestones - Assurance,F55
Assurance MM49 Forecast - Actual,6b - Milestones - Assurance,G55
Assurance MM49 Variance,6b - Milestones - Assurance,H55
Assurance MM49 Status,6b - Milestones - Assurance,I55
Assurance MM49 Notes,6b - Milestones - Assurance,J55
Assurance MM50,6b - Milestones - Assurance,D56
Assurance MM50 LoD,6b - Milestones - Assurance,E56
Assurance MM50 Original Bobline,6b - Milestones - Assurance,F56
Assurance MM50 Forecast - Actual,6b - Milestones - Assurance,G56
Assurance MM50 Variance,6b - Milestones - Assurance,H56
Assurance MM50 Status,6b - Milestones - Assurance,I56
Assurance MM50 Notes,6b - Milestones - Assurance,J56
Project MM18,6c - Milestones - Delivery,D7
Project MM18 CP,6c - Milestones - Delivery,E7
Project MM18 Original Bobline,6c - Milestones - Delivery,F7
Project MM18 Forecast - Actual,6c - Milestones - Delivery,G7
Project MM18 Variance,6c - Milestones - Delivery,H7
Project MM18 Status,6c - Milestones - Delivery,I7
Project MM18 Notes,6c - Milestones - Delivery,J7
Project MM19,6c - Milestones - Delivery,D8
Project MM19 CP,6c - Milestones - Delivery,E8
Project MM19 Original Bobline,6c - Milestones - Delivery,F8
Project MM19 Forecast - Actual,6c - Milestones - Delivery,G8
Project MM19 Variance,6c - Milestones - Delivery,H8
Project MM19 Status,6c - Milestones - Delivery,I8
Project MM19 Notes,6c - Milestones - Delivery,J8
Project MM20,6c - Milestones - Delivery,D9
Project MM20 CP,6c - Milestones - Delivery,E9
Project MM20 Original Bobline,6c - Milestones - Delivery,F9
Project MM20 Forecast - Actual,6c - Milestones - Delivery,G9
Project MM20 Variance,6c - Milestones - Delivery,H9
Project MM20 Status,6c - Milestones - Delivery,I9
Project MM20 Notes,6c - Milestones - Delivery,J9
Project MM21,6c - Milestones - Delivery,D10
Project MM21 CP,6c - Milestones - Delivery,E10
Project MM21 Original Bobline,6c - Milestones - Delivery,F10
Project MM21 Forecast - Actual,6c - Milestones - Delivery,G10
Project MM21 Variance,6c - Milestones - Delivery,H10
Project MM21 Status,6c - Milestones - Delivery,I10
Project MM21 Notes,6c - Milestones - Delivery,J10
Project MM22,6c - Milestones - Delivery,D11
Project MM22 CP,6c - Milestones - Delivery,E11
Project MM22 Original Bobline,6c - Milestones - Delivery,F11
Project MM22 Forecast - Actual,6c - Milestones - Delivery,G11
Project MM22 Variance,6c - Milestones - Delivery,H11
Project MM22 Status,6c - Milestones - Delivery,I11
Project MM22 Notes,6c - Milestones - Delivery,J11
Project MM23,6c - Milestones - Delivery,D12
Project MM23 CP,6c - Milestones - Delivery,E12
Project MM23 Original Bobline,6c - Milestones - Delivery,F12
Project MM23 Forecast - Actual,6c - Milestones - Delivery,G12
Project MM23 Variance,6c - Milestones - Delivery,H12
Project MM23 Status,6c - Milestones - Delivery,I12
Project MM23 Notes,6c - Milestones - Delivery,J12
Project MM24,6c - Milestones - Delivery,D13
Project MM24 CP,6c - Milestones - Delivery,E13
Project MM24 Original Bobline,6c - Milestones - Delivery,F13
Project MM24 Forecast - Actual,6c - Milestones - Delivery,G13
Project MM24 Variance,6c - Milestones - Delivery,H13
Project MM24 Status,6c - Milestones - Delivery,I13
Project MM24 Notes,6c - Milestones - Delivery,J13
Project MM25,6c - Milestones - Delivery,D14
Project MM25 CP,6c - Milestones - Delivery,E14
Project MM25 Original Bobline,6c - Milestones - Delivery,F14
Project MM25 Forecast - Actual,6c - Milestones - Delivery,G14
Project MM25 Variance,6c - Milestones - Delivery,H14
Project MM25 Status,6c - Milestones - Delivery,I14
Project MM25 Notes,6c - Milestones - Delivery,J14
Project MM26,6c - Milestones - Delivery,D15
Project MM26 CP,6c - Milestones - Delivery,E15
Project MM26 Original Bobline,6c - Milestones - Delivery,F15
Project MM26 Forecast - Actual,6c - Milestones - Delivery,G15
Project MM26 Variance,6c - Milestones - Delivery,H15
Project MM26 Status,6c - Milestones - Delivery,I15
Project MM26 Notes,6c - Milestones - Delivery,J15
Project MM27,6c - Milestones - Delivery,D16
Project MM27 CP,6c - Milestones - Delivery,E16
Project MM27 Original Bobline,6c - Milestones - Delivery,F16
Project MM27 Forecast - Actual,6c - Milestones - Delivery,G16
Project MM27 Variance,6c - Milestones - Delivery,H16
Project MM27 Status,6c - Milestones - Delivery,I16
Project MM27 Notes,6c - Milestones - Delivery,J16
Project MM28,6c - Milestones - Delivery,D17
Project MM28 CP,6c - Milestones - Delivery,E17
Project MM28 Original Bobline,6c - Milestones - Delivery,F17
Project MM28 Forecast - Actual,6c - Milestones - Delivery,G17
Project MM28 Variance,6c - Milestones - Delivery,H17
Project MM28 Status,6c - Milestones - Delivery,I17
Project MM28 Notes,6c - Milestones - Delivery,J17
Project MM29,6c - Milestones - Delivery,D18
Project MM29 CP,6c - Milestones - Delivery,E18
Project MM29 Original Bobline,6c - Milestones - Delivery,F18
Project MM29 Forecast - Actual,6c - Milestones - Delivery,G18
Project MM29 Variance,6c - Milestones - Delivery,H18
Project MM29 Status,6c - Milestones - Delivery,I18
Project MM29 Notes,6c - Milestones - Delivery,J18
Project MM30,6c - Milestones - Delivery,D19
Project MM30 CP,6c - Milestones - Delivery,E19
Project MM30 Original Bobline,6c - Milestones - Delivery,F19
Project MM30 Forecast - Actual,6c - Milestones - Delivery,G19
Project MM30 Variance,6c - Milestones - Delivery,H19
Project MM30 Status,6c - Milestones - Delivery,I19
Project MM30 Notes,6c - Milestones - Delivery,J19
Project MM31,6c - Milestones - Delivery,D20
Project MM31 CP,6c - Milestones - Delivery,E20
Project MM31 Original Bobline,6c - Milestones - Delivery,F20
Project MM31 Forecast - Actual,6c - Milestones - Delivery,G20
Project MM31 Variance,6c - Milestones - Delivery,H20
Project MM31 Status,6c - Milestones - Delivery,I20
Project MM31 Notes,6c - Milestones - Delivery,J20
Project MM32,6c - Milestones - Delivery,D21
Project MM32 CP,6c - Milestones - Delivery,E21
Project MM32 Original Bobline,6c - Milestones - Delivery,F21
Project MM32 Forecast - Actual,6c - Milestones - Delivery,G21
Project MM32 Variance,6c - Milestones - Delivery,H21
Project MM32 Status,6c - Milestones - Delivery,I21
Project MM32 Notes,6c - Milestones - Delivery,J21
Project MM33,6c - Milestones - Delivery,D22
Project MM33 CP,6c - Milestones - Delivery,E22
Project MM33 Original Bobline,6c - Milestones - Delivery,F22
Project MM33 Forecast - Actual,6c - Milestones - Delivery,G22
Project MM33 Variance,6c - Milestones - Delivery,H22
Project MM33 Status,6c - Milestones - Delivery,I22
Project MM33 Notes,6c - Milestones - Delivery,J22
Project MM34,6c - Milestones - Delivery,D23
Project MM34 CP,6c - Milestones - Delivery,E23
Project MM34 Original Bobline,6c - Milestones - Delivery,F23
Project MM34 Forecast - Actual,6c - Milestones - Delivery,G23
Project MM34 Variance,6c - Milestones - Delivery,H23
Project MM34 Status,6c - Milestones - Delivery,I23
Project MM34 Notes,6c - Milestones - Delivery,J23
Project MM35,6c - Milestones - Delivery,D24
Project MM35 CP,6c - Milestones - Delivery,E24
Project MM35 Original Bobline,6c - Milestones - Delivery,F24
Project MM35 Forecast - Actual,6c - Milestones - Delivery,G24
Project MM35 Variance,6c - Milestones - Delivery,H24
Project MM35 Status,6c - Milestones - Delivery,I24
Project MM35 Notes,6c - Milestones - Delivery,J24
Project MM36,6c - Milestones - Delivery,D25
Project MM36 CP,6c - Milestones - Delivery,E25
Project MM36 Original Bobline,6c - Milestones - Delivery,F25
Project MM36 Forecast - Actual,6c - Milestones - Delivery,G25
Project MM36 Variance,6c - Milestones - Delivery,H25
Project MM36 Status,6c - Milestones - Delivery,I25
Project MM36 Notes,6c - Milestones - Delivery,J25
Project MM37,6c - Milestones - Delivery,D26
Project MM37 CP,6c - Milestones - Delivery,E26
Project MM37 Original Bobline,6c - Milestones - Delivery,F26
Project MM37 Forecast - Actual,6c - Milestones - Delivery,G26
Project MM37 Variance,6c - Milestones - Delivery,H26
Project MM37 Status,6c - Milestones - Delivery,I26
Project MM37 Notes,6c - Milestones - Delivery,J26
Project MM38,6c - Milestones - Delivery,D27
Project MM38 CP,6c - Milestones - Delivery,E27
Project MM38 Original Bobline,6c - Milestones - Delivery,F27
Project MM38 Forecast - Actual,6c - Milestones - Delivery,G27
Project MM38 Variance,6c - Milestones - Delivery,H27
Project MM38 Status,6c - Milestones - Delivery,I27
Project MM38 Notes,6c - Milestones - Delivery,J27
Project MM39,6c - Milestones - Delivery,D28
Project MM39 CP,6c - Milestones - Delivery,E28
Project MM39 Original Bobline,6c - Milestones - Delivery,F28
Project MM39 Forecast - Actual,6c - Milestones - Delivery,G28
Project MM39 Variance,6c - Milestones - Delivery,H28
Project MM39 Status,6c - Milestones - Delivery,I28
Project MM39 Notes,6c - Milestones - Delivery,J28
Project MM40,6c - Milestones - Delivery,D29
Project MM40 CP,6c - Milestones - Delivery,E29
Project MM40 Original Bobline,6c - Milestones - Delivery,F29
Project MM40 Forecast - Actual,6c - Milestones - Delivery,G29
Project MM40 Variance,6c - Milestones - Delivery,H29
Project MM40 Status,6c - Milestones - Delivery,I29
Project MM40 Notes,6c - Milestones - Delivery,J29
Project MM41,6c - Milestones - Delivery,D30
Project MM41 CP,6c - Milestones - Delivery,E30
Project MM41 Original Bobline,6c - Milestones - Delivery,F30
Project MM41 Forecast - Actual,6c - Milestones - Delivery,G30
Project MM41 Variance,6c - Milestones - Delivery,H30
Project MM41 Status,6c - Milestones - Delivery,I30
Project MM41 Notes,6c - Milestones - Delivery,J30
Project MM42,6c - Milestones - Delivery,D31
Project MM42 CP,6c - Milestones - Delivery,E31
Project MM42 Original Bobline,6c - Milestones - Delivery,F31
Project MM42 Forecast - Actual,6c - Milestones - Delivery,G31
Project MM42 Variance,6c - Milestones - Delivery,H31
Project MM42 Status,6c - Milestones - Delivery,I31
Project MM42 Notes,6c - Milestones - Delivery,J31
Project MM43,6c - Milestones - Delivery,D32
Project MM43 CP,6c - Milestones - Delivery,E32
Project MM43 Original Bobline,6c - Milestones - Delivery,F32
Project MM43 Forecast - Actual,6c - Milestones - Delivery,G32
Project MM43 Variance,6c - Milestones - Delivery,H32
Project MM43 Status,6c - Milestones - Delivery,I32
Project MM43 Notes,6c - Milestones - Delivery,J32
Project MM44,6c - Milestones - Delivery,D33
Project MM44 CP,6c - Milestones - Delivery,E33
Project MM44 Original Bobline,6c - Milestones - Delivery,F33
Project MM44 Forecast - Actual,6c - Milestones - Delivery,G33
Project MM44 Variance,6c - Milestones - Delivery,H33
Project MM44 Status,6c - Milestones - Delivery,I33
Project MM44 Notes,6c - Milestones - Delivery,J33
Project MM45,6c - Milestones - Delivery,D34
Project MM45 CP,6c - Milestones - Delivery,E34
Project MM45 Original Bobline,6c - Milestones - Delivery,F34
Project MM45 Forecast - Actual,6c - Milestones - Delivery,G34
Project MM45 Variance,6c - Milestones - Delivery,H34
Project MM45 Status,6c - Milestones - Delivery,I34
Project MM45 Notes,6c - Milestones - Delivery,J34
Project MM46,6c - Milestones - Delivery,D35
Project MM46 CP,6c - Milestones - Delivery,E35
Project MM46 Original Bobline,6c - Milestones - Delivery,F35
Project MM46 Forecast - Actual,6c - Milestones - Delivery,G35
Project MM46 Variance,6c - Milestones - Delivery,H35
Project MM46 Status,6c - Milestones - Delivery,I35
Project MM46 Notes,6c - Milestones - Delivery,J35
Project MM47,6c - Milestones - Delivery,D36
Project MM47 CP,6c - Milestones - Delivery,E36
Project MM47 Original Bobline,6c - Milestones - Delivery,F36
Project MM47 Forecast - Actual,6c - Milestones - Delivery,G36
Project MM47 Variance,6c - Milestones - Delivery,H36
Project MM47 Status,6c - Milestones - Delivery,I36
Project MM47 Notes,6c - Milestones - Delivery,J36
Project MM48 ,6c - Milestones - Delivery,D37
Project MM48 CP,6c - Milestones - Delivery,E37
Project MM48 Original Bobline,6c - Milestones - Delivery,F37
Project MM48 Forecast - Actual,6c - Milestones - Delivery,G37
Project MM48 Variance,6c - Milestones - Delivery,H37
Project MM48 Status,6c - Milestones - Delivery,I37
Project MM48 Notes,6c - Milestones - Delivery,J37
Project MM49,6c - Milestones - Delivery,D38
Project MM49 CP,6c - Milestones - Delivery,E38
Project MM49 Original Bobline,6c - Milestones - Delivery,F38
Project MM49 Forecast - Actual,6c - Milestones - Delivery,G38
Project MM49 Variance,6c - Milestones - Delivery,H38
Project MM49 Status,6c - Milestones - Delivery,I38
Project MM49 Notes,6c - Milestones - Delivery,J38
Project MM50,6c - Milestones - Delivery,D39
Project MM50 CP,6c - Milestones - Delivery,E39
Project MM50 Original Bobline,6c - Milestones - Delivery,F39
Project MM50 Forecast - Actual,6c - Milestones - Delivery,G39
Project MM50 Variance,6c - Milestones - Delivery,H39
Project MM50 Status,6c - Milestones - Delivery,I39
Project MM50 Notes,6c - Milestones - Delivery,J39
Project MM51,6c - Milestones - Delivery,D40
Project MM51 CP,6c - Milestones - Delivery,E40
Project MM51 Original Bobline,6c - Milestones - Delivery,F40
Project MM51 Forecast - Actual,6c - Milestones - Delivery,G40
Project MM51 Variance,6c - Milestones - Delivery,H40
Project MM51 Status,6c - Milestones - Delivery,I40
Project MM51 Notes,6c - Milestones - Delivery,J40
Project MM52,6c - Milestones - Delivery,D41
Project MM52 CP,6c - Milestones - Delivery,E41
Project MM52 Original Bobline,6c - Milestones - Delivery,F41
Project MM52 Forecast - Actual,6c - Milestones - Delivery,G41
Project MM52 Variance,6c - Milestones - Delivery,H41
Project MM52 Status,6c - Milestones - Delivery,I41
Project MM52 Notes,6c - Milestones - Delivery,J41
Project MM53,6c - Milestones - Delivery,D42
Project MM53 CP,6c - Milestones - Delivery,E42
Project MM53 Original Bobline,6c - Milestones - Delivery,F42
Project MM53 Forecast - Actual,6c - Milestones - Delivery,G42
Project MM53 Variance,6c - Milestones - Delivery,H42
Project MM53 Status,6c - Milestones - Delivery,I42
Project MM53 Notes,6c - Milestones - Delivery,J42
Project MM54,6c - Milestones - Delivery,D43
Project MM54 CP,6c - Milestones - Delivery,E43
Project MM54 Original Bobline,6c - Milestones - Delivery,F43
Project MM54 Forecast - Actual,6c - Milestones - Delivery,G43
Project MM54 Variance,6c - Milestones - Delivery,H43
Project MM54 Status,6c - Milestones - Delivery,I43
Project MM54 Notes,6c - Milestones - Delivery,J43
Project MM55,6c - Milestones - Delivery,D44
Project MM55 CP,6c - Milestones - Delivery,E44
Project MM55 Original Bobline,6c - Milestones - Delivery,F44
Project MM55 Forecast - Actual,6c - Milestones - Delivery,G44
Project MM55 Variance,6c - Milestones - Delivery,H44
Project MM55 Status,6c - Milestones - Delivery,I44
Project MM55 Notes,6c - Milestones - Delivery,J44
Project MM56,6c - Milestones - Delivery,D45
Project MM56 CP,6c - Milestones - Delivery,E45
Project MM56 Original Bobline,6c - Milestones - Delivery,F45
Project MM56 Forecast - Actual,6c - Milestones - Delivery,G45
Project MM56 Variance,6c - Milestones - Delivery,H45
Project MM56 Status,6c - Milestones - Delivery,I45
Project MM56 Notes,6c - Milestones - Delivery,J45
Project MM57,6c - Milestones - Delivery,D46
Project MM57 CP,6c - Milestones - Delivery,E46
Project MM57 Original Bobline,6c - Milestones - Delivery,F46
Project MM57 Forecast - Actual,6c - Milestones - Delivery,G46
Project MM57 Variance,6c - Milestones - Delivery,H46
Project MM57 Status,6c - Milestones - Delivery,I46
Project MM57 Notes,6c - Milestones - Delivery,J46
Project MM58,6c - Milestones - Delivery,D47
Project MM58 CP,6c - Milestones - Delivery,E47
Project MM58 Original Bobline,6c - Milestones - Delivery,F47
Project MM58 Forecast - Actual,6c - Milestones - Delivery,G47
Project MM58 Variance,6c - Milestones - Delivery,H47
Project MM58 Status,6c - Milestones - Delivery,I47
Project MM58 Notes,6c - Milestones - Delivery,J47
Project MM59,6c - Milestones - Delivery,D48
Project MM59 CP,6c - Milestones - Delivery,E48
Project MM59 Original Bobline,6c - Milestones - Delivery,F48
Project MM59 Forecast - Actual,6c - Milestones - Delivery,G48
Project MM59 Variance,6c - Milestones - Delivery,H48
Project MM59 Status,6c - Milestones - Delivery,I48
Project MM59 Notes,6c - Milestones - Delivery,J48
Project MM60,6c - Milestones - Delivery,D49
Project MM60 CP,6c - Milestones - Delivery,E49
Project MM60 Original Bobline,6c - Milestones - Delivery,F49
Project MM60 Forecast - Actual,6c - Milestones - Delivery,G49
Project MM60 Variance,6c - Milestones - Delivery,H49
Project MM60 Status,6c - Milestones - Delivery,I49
Project MM60 Notes,6c - Milestones - Delivery,J49
Project MM61,6c - Milestones - Delivery,D50
Project MM61 CP,6c - Milestones - Delivery,E50
Project MM61 Original Bobline,6c - Milestones - Delivery,F50
Project MM61 Forecast - Actual,6c - Milestones - Delivery,G50
Project MM61 Variance,6c - Milestones - Delivery,H50
Project MM61 Status,6c - Milestones - Delivery,I50
Project MM61 Notes,6c - Milestones - Delivery,J50
Project MM62,6c - Milestones - Delivery,D51
Project MM62 CP,6c - Milestones - Delivery,E51
Project MM62 Original Bobline,6c - Milestones - Delivery,F51
Project MM62 Forecast - Actual,6c - Milestones - Delivery,G51
Project MM62 Variance,6c - Milestones - Delivery,H51
Project MM62 Status,6c - Milestones - Delivery,I51
Project MM62 Notes,6c - Milestones - Delivery,J51
Project MM63,6c - Milestones - Delivery,D52
Project MM63 CP,6c - Milestones - Delivery,E52
Project MM63 Original Bobline,6c - Milestones - Delivery,F52
Project MM63 Forecast - Actual,6c - Milestones - Delivery,G52
Project MM63 Variance,6c - Milestones - Delivery,H52
Project MM63 Status,6c - Milestones - Delivery,I52
Project MM63 Notes,6c - Milestones - Delivery,J52
Project MM64,6c - Milestones - Delivery,D53
Project MM64 CP,6c - Milestones - Delivery,E53
Project MM64 Original Bobline,6c - Milestones - Delivery,F53
Project MM64 Forecast - Actual,6c - Milestones - Delivery,G53
Project MM64 Variance,6c - Milestones - Delivery,H53
Project MM64 Status,6c - Milestones - Delivery,I53
Project MM64 Notes,6c - Milestones - Delivery,J53
Project MM65,6c - Milestones - Delivery,D54
Project MM65 CP,6c - Milestones - Delivery,E54
Project MM65 Original Bobline,6c - Milestones - Delivery,F54
Project MM65 Forecast - Actual,6c - Milestones - Delivery,G54
Project MM65 Variance,6c - Milestones - Delivery,H54
Project MM65 Status,6c - Milestones - Delivery,I54
Project MM65 Notes,6c - Milestones - Delivery,J54
Project MM66,6c - Milestones - Delivery,D55
Project MM66 CP,6c - Milestones - Delivery,E55
Project MM66 Original Bobline,6c - Milestones - Delivery,F55
Project MM66 Forecast - Actual,6c - Milestones - Delivery,G55
Project MM66 Variance,6c - Milestones - Delivery,H55
Project MM66 Status,6c - Milestones - Delivery,I55
Project MM66 Notes,6c - Milestones - Delivery,J55
Project MM67,6c - Milestones - Delivery,D56
Project MM67 CP,6c - Milestones - Delivery,E56
Project MM67 Original Bobline,6c - Milestones - Delivery,F56
Project MM67 Forecast - Actual,6c - Milestones - Delivery,G56
Project MM67 Variance,6c - Milestones - Delivery,H56
Project MM67 Status,6c - Milestones - Delivery,I56
Project MM67 Notes,6c - Milestones - Delivery,J56
Milestone Commentary,6c - Milestones - Delivery,F110
SRO Schedule Confidence,6c - Milestones - Delivery,F109
Project stage,7 - Business Case,E6
Project Stage if Other,7 - Business Case,E7
Latest Treasury Approval Point (TAP) or equivalent,7 - Business Case,E10
Version Number Of Document used to Source Figures (DRRDD - TAP version Number),7 - Business Case,E11
Business Case & Version No.,7 - Business Case,E12
Date of TAP used to source figures,7 - Business Case,E13
"If no HMT Business Case, please advise why?",7 - Business Case,E14
"Is your HMT Business case updated / approved annually by HMT, or more frequently?",7 - Business Case,E15
Does the HMT Businesss Case cover the full life of the project?,7 - Business Case,E16
"If not, please provide explanation as to why",7 - Business Case,E17
"If not, please advise how many years are covered",7 - Business Case,E18
"If not, please advise how much cost is covered, as a percentage",7 - Business Case,E19
Are the baselines in this return from the most recent HMT Approved Business Case?,7 - Business Case,E20
"If not, what is the source of baselines in this returns?",7 - Business Case,E21
"If not, please give a reason why baselines",7 - Business Case,E22
What is the source of all forecasts in this return?,7 - Business Case,E23
"Please provide details of any formal arrangement with HMT regarding Business cases, that are outside the classical model",7 - Business Case,E24
BC One Off new costs,7 - Business Case,E29
BC Recurring new costs,7 - Business Case,F29
BC Recurring old costs,7 - Business Case,G29
BC Non Government costs,7 - Business Case,H29
BC Income,7 - Business Case,I29
BC Cashable benefits,7 - Business Case,E31
BC Non-Cashable benefits,7 - Business Case,F31
BC UK Economic benefits,7 - Business Case,G31
BC Disbenefits in the cost section,7 - Business Case,H31
BC Positive AME benefits in Cashable,7 - Business Case,I31
BC Non Monetised Benefits,7 - Business Case,J31
Real or Nominal - Bobline,8 - Finance,E6
Real or Nominal - Actual/Forecast,8 - Finance,E7
Index Year,8 - Finance,E8
Deflator,8 - Finance,E9
Are you reporting the full costs of the project?,8 - Finance,E10
"If no, please provide reason why?",8 - Finance,E11
Does this project create income?,8 - Finance,E14
Who recieves the income?,8 - Finance,E15
Do you net the income with your costs in the DRRDD return,8 - Finance,E16
Income Against which Cost category?,8 - Finance,E17
Income Bobline - Real or Nominal,8 - Finance,E18
Income Forecast - Real or Nominal,8 - Finance,E19
"Income If real, Index Year used?",8 - Finance,E20
"Income If real, Deflator used?",8 - Finance,E21
Are you reporting the full income of the project?,8 - Finance,E22
"Income If no, please provide reason why?",8 - Finance,E23
Does this project create monetised benefits?,8 - Finance,E26
Benefits Bobline - Real or Nominal,8 - Finance,E27
Benefits Forecast - Real or Nominal,8 - Finance,E28
"Benefits If real, Index Year used?",8 - Finance,E29
"Benefits If real, Deflator used?",8 - Finance,E30
Are you reporting the full benefits of the project?,8 - Finance,E31
"Benefits If no, please provide reason why?",8 - Finance,E32
Source of Finance,8 - Finance,E35
Other Finance type Description,8 - Finance,E36
Optimism Bias Percentage Used in Cost Boblines,8 - Finance,E37
Overall figure for Optimism Bias (£m),8 - Finance,E38
Built in contingency (% of Whole Life Cost),8 - Finance,E39
Overall contingency (£m),8 - Finance,E40
NPV for all projects and NPV for programmes if available,8 - Finance,E41
Internal Rate of Return (IRR),8 - Finance,E42
Adjusted Benefits Cost Ratio (BCR),8 - Finance,E43
Benefits Map,8 - Finance,E47
Benefits Analysed,8 - Finance,E48
Benefits Realisation Plan,8 - Finance,E49
Initial Benefits Cost Ratio (BCR),8 - Finance,E44
VfM Category,8 - Finance,E50
Present Value Cost (PVC),8 - Finance,E45
Present Value Benefit (PVB),8 - Finance,E46
Project Costs Narrative,9 - Costs,E6
Cost comparison with last quarters cost - narrative ,9 - Costs,E7
Cost comparison within this quarters cost - narrative ,9 - Costs,E8
Total Budget/BL,9 - Costs,F20
Total Forecast,9 - Costs,H20
Pre 19-20 TDEL BL one off new costs,9 - Costs,E27
Pre 19-20 TDEL BL recurring new costs,9 - Costs,F27
Pre 19-20 TDEL BL recurring old costs,9 - Costs,G27
Pre 19-20 TDEL BL Non Gov costs,9 - Costs,H27
Pre 19-20 TDEL BL Total,9 - Costs,I27
Pre 19-20 TDEL BL Income,9 - Costs,L27
Pre 19-20 TDEL Forecast one off new costs,9 - Costs,E28
Pre 19-20 TDEL Forecast recurring new costs,9 - Costs,F28
Pre 19-20 TDEL Forecast recurring old costs,9 - Costs,G28
Pre 19-20 TDEL Forecast Non Gov costs,9 - Costs,H28
Pre 19-20 TDEL Forecast Total,9 - Costs,I28
Pre 19-20 TDEL Forecast Income,9 - Costs,L28
19-20 TDEL BL one off new costs,9 - Costs,E29
19-20 TDEL BL recurring new costs,9 - Costs,F29
19-20 TDEL BL recurring old costs,9 - Costs,G29
19-20 TDEL BL Non Gov costs,9 - Costs,H29
19-20 TDEL BL Total,9 - Costs,I29
19-20 TDEL BL Income,9 - Costs,L29
19-20 TDEL Forecast one off new costs,9 - Costs,E30
19-20 TDEL Forecast recurring new costs,9 - Costs,F30
19-20 TDEL Forecast recurring old costs,9 - Costs,G30
19-20 TDEL Forecast Non Gov costs,9 - Costs,H30
19-20 TDEL Forecast Total,9 - Costs,I30
19-20 TDEL Forecast Income,9 - Costs,L30
20-21 TDEL BL one off new costs,9 - Costs,E31
20-21 TDEL BL recurring new costs,9 - Costs,F31
20-21 TDEL BL recurring old costs,9 - Costs,G31
20-21 TDEL BL Non Gov costs,9 - Costs,H31
20-21 TDEL BL Total,9 - Costs,I31
20-21 TDEL BL Income,9 - Costs,L31
20-21 TDEL Forecast one off new costs,9 - Costs,E32
20-21 TDEL Forecast recurring new costs,9 - Costs,F32
20-21 TDEL Forecast recurring old costs,9 - Costs,G32
20-21 TDEL Forecast Non Gov costs,9 - Costs,H32
20-21 TDEL Forecast Total,9 - Costs,I32
20-21 TDEL Forecast Income,9 - Costs,L32
21-22 TDEL BL one off new costs,9 - Costs,E33
21-22 TDEL BL recurring new costs,9 - Costs,F33
21-22 TDEL BL recurring old costs,9 - Costs,G33
21-22 TDEL BL Non Gov costs,9 - Costs,H33
21-22 TDEL BL Total,9 - Costs,I33
21-22 TDEL BL Income,9 - Costs,L33
21-22 TDEL Forecast one off new costs,9 - Costs,E34
21-22 TDEL Forecast recurring new costs,9 - Costs,F34
21-22 TDEL Forecast recurring old costs,9 - Costs,G34
21-22 TDEL Forecast Non Gov costs,9 - Costs,H34
21-22 TDEL Forecast Total,9 - Costs,I34
21-22 TDEL Forecast Income,9 - Costs,L34
22-23 TDEL BL one off new costs,9 - Costs,E35
22-23 TDEL BL recurring new costs,9 - Costs,F35
22-23 TDEL BL recurring old costs,9 - Costs,G35
22-23 TDEL BL Non Gov costs,9 - Costs,H35
22-23 TDEL BL Total,9 - Costs,I35
22-23 TDEL BL Income,9 - Costs,L35
22-23 TDEL Forecast one off new costs,9 - Costs,E36
22-23 TDEL Forecast recurring new costs,9 - Costs,F36
22-23 TDEL Forecast recurring old costs,9 - Costs,G36
22-23 TDEL Forecast Non Gov costs,9 - Costs,H36
22-23 TDEL Forecast Total,9 - Costs,I36
22-23 TDEL Forecast Income,9 - Costs,L36
23-24 TDEL BL one off new costs,9 - Costs,E37
23-24 TDEL BL recurring new costs,9 - Costs,F37
23-24 TDEL BL recurring old costs,9 - Costs,G37
23-24 TDEL BL Non Gov costs,9 - Costs,H37
23-24 TDEL BL Total,9 - Costs,I37
23-24 TDEL BL Income,9 - Costs,L37
23-24 TDEL Forecast one off new costs,9 - Costs,E38
23-24 TDEL Forecast recurring new costs,9 - Costs,F38
23-24 TDEL Forecast recurring old costs,9 - Costs,G38
23-24 TDEL Forecast Non Gov costs,9 - Costs,H38
23-24 TDEL Forecast Total,9 - Costs,I38
23-24 TDEL Forecast Income,9 - Costs,L38
24-25 TDEL BL one off new costs,9 - Costs,E39
24-25 TDEL BL recurring new costs,9 - Costs,F39
24-25 TDEL BL recurring old costs,9 - Costs,G39
24-25 TDEL BL Non Gov costs,9 - Costs,H39
24-25 TDEL BL Total,9 - Costs,I39
24-25 TDEL BL Income,9 - Costs,L39
24-25 TDEL Forecast one off new costs,9 - Costs,E40
24-25 TDEL Forecast recurring new costs,9 - Costs,F40
24-25 TDEL Forecast recurring old costs,9 - Costs,G40
